Nom;Catégorie; Energie;Sodium; Magnésium;Phosphore; Potassium; Calcium; Manganèse; Fer; Cuivre; Zinc; Iode; Protéines; Glucides; Amidon;Fibres; Eau; Lipides
Poisson pané, frit;Mer;830;354;30,6;104;277;24,9;0,152;0,489;0,0526;0,397;5;8,6;15,3;13,7;0,7;62,2;11,3
Raie, cuite au court0bouillon;Mer;415;161;24,3;163;0;0;0;0;0,03;0,6;14,4;23,2;0;0;0;73,7;0,57
Raie, cuite au four;Mer;340;150;37;220;320;50;0;0,6;0,03;0,6;25;18,9;0;0;0;75,9;0,5
Rascasse, crue;Mer;384;0;21;0;465;61;0,3;5,5;0,5;1,8;11;19;0;0;0;79;1,64
Rouget0barbet de roche, cuit à l'étouffée;Mer;464;97,3;28,9;290;375;49,6;0,111;1,1;0,1;0,88;12,2;23,2;0;0;0;74,2;1,89
Roussette, cuite;Mer;443;0;0;0;0;0;0,1;0;0,1;0,67;24,8;25,4;0;0;0;73,2;0,29
Sardine, grillée;Mer;895;140;34;320;400;130;0,08;1,7;0,14;1,4;32;30;0;0;0;55,7;10,4
Saumon, cru, élevage;Mer;756;47;26,9;190;355;7,13;0,055;0,385;0,06;0,408;41,8;19,9;0;0;0;65,9;11,3
Saumon, cuit à la vapeur;Mer;904;51,2;22,5;270;390;11,2;0,00889;0,4;0,0267;0,436;4;22,7;0;0;0;64,5;14
Sole, cuite à la vapeur;Mer;400;166;23,1;128;175;96;0,007;0,72;0,026;0,392;19,8;20,3;0;0;0;77;1,48
Sole, cuite au four;Mer;309;117;31,3;260;250;55;0,0351;0,9;0,0267;0,58;30;16;0;0;0;83;1
Thon, cru;Mer;573;45,7;33;220;400;24;0,02;1,54;0,16;0,717;36,7;23,7;0;0;0;70,4;4,6
Thon, cuit au four;Mer;576;56;49,7;273;462;22,2;0,00764;1,63;0,047;0,431;150;29,9;0;0;0;66,8;1,83
Tilapia du Nil, cru, élevage;Mer;363;42,6;0;159;290;0;0;1,1;0;0;0;17;0;0;0;78,4;2
Truite arc en ciel, élevage, cuite à la vapeur;Mer;525;0;0;0;0;0;0,027;0;0,03;0,562;8;20;0;0;0;75;4,99
Truite arc en ciel, élevage, cuite au four;Mer;565;52,6;28,1;260;361;52,9;0,0252;0,346;0,0327;0,554;15;22,4;0;0;0;69,3;4,99
Truite, cuite à la vapeur;Mer;508;0;0;0;0;0;0,027;0;0,03;0,562;6;19;0;0;0;75;4,99
Truite, cuite au four;Mer;572;0;0;0;0;0;0,027;0;0,03;0,562;6;22,8;0;0;0;71;4,99
Turbot, cuit au four;Mer;515;9;62;260;340;62;0;0,6;0,05;0,3;30;22,7;0;0;0;72,7;3,5
Patate douce, cuite;Légume;334;31,5;22,5;43;352;32,5;0,382;0,705;0,127;0,26;3;1,69;16,3;6,14;2,9;78;0,145
Pomme de terre avec peau, cuite à la vapeur;Légume;379;0;0;0;0;0;0;0;0;0;3;1,87;19,1;17,6;1,8;77;0,22
Pomme de terre dauphine, cuite;Légume;1370;749;23,6;60,2;168;27,8;0,33;1,45;0,1;0,87;8;3,35;34,8;0;0,5;41;19,4
Pomme de terre frite ou Frite, cuite, non salée;Légume;1060;252;27,7;106;754;23,8;0,157;0,9;0,117;0,363;5;4,6;30;24,9;3,9;47,4;12
Pomme de terre frite ou Frite, surgelée, cuite, non salée;Légume;969;62,6;26,3;110;518;12,4;0,22;0,963;0,24;0,67;14,3;3,49;26,6;25,9;3,05;53,9;11,7
Pomme de terre, chips salées;Légume;2290;622;73,3;97;1260;27,1;0,321;1,06;0,205;0,783;87,5;5,59;48,7;47,6;4,1;2,29;36,1
Pomme de terre, cuite à l'eau;Légume;319;39;17,3;37,2;279;0,5;0,0762;0,253;0,0779;0,149;0,03;2;15,8;15,8;2,05;78,9;0,22
Pomme de terre, flocons déshydratés au lait;Légume;1480;155;79,4;177;1650;73;0,327;2,03;0,403;1,13;2,12;10,9;65,8;62,6;8;8,07;3,02
Pomme de terre, noisette, précuite, surgelée;Légume;720;243;27,9;111;550;25,2;0,184;1;0,1;0,582;3;3,6;20,7;0;3,9;62,7;7,44
Pomme de terre, pulpe, cuite au four;Légume;389;1,43;21,6;50;391;9,48;0,146;0,35;0,0944;0,236;3;1,96;20;0;1,5;75,4;0,1
Pomme de terre, purée, à base de flocons, reconstituée avec lait demi0écrémé et eau, non salée;Légume;326;120;14,5;59,1;260;29,4;0,1;0,41;0,06;0,295;5,15;2,4;14,6;11,5;2,25;79,5;0,515
Pomme de terre, purée, avec lait et beurre, non salée;Légume;383;176;14,9;34;263;30,3;0,0678;0,22;0,0609;0,224;5;2;12,6;11,7;1,4;79,2;3,35
Pomme de terre, rissolée, surgelée;Légume;691;40,6;28,1;111;550;12,3;0,218;0,908;0,214;0,598;14,3;2,7;27,4;20;2,8;61;4,25
Crabe, appertisé;Mer;331;550;32;140;100;120;0;2,8;0,42;5,7;60;18,1;0,3;0;0;79,2;0,5
Langoustine, panée, frite;Mer;1100;660;24;310;130;210;0,35;1,7;0,16;0,6;41;9,4;25,2;25,2;0,7;49,8;13,6
Anchois commun, mariné;Mer;573;2230;101;148;159;120;0,14;2,8;0,17;1,95;8;23,9;2,7;0;0;60,2;3,26
Anchois, filets à l'huile, semi0conserve, égoutté;Mer;761;4450;144;288;239;296;0,145;3,4;0,17;2,35;30;26,4;0;0;0;55,1;8,45
