Nom;Catégorie; Energie;Sodium; Magnésium;Phosphore; Potassium; Calcium; Manganèse; Fer; Cuivre; Zinc; Iode; Protéines; Glucides; Amidon;Fibres; Eau; Lipides
Veau, poitrine, crue;Viande;503;0;0;0;0;0;0;0;0;0;2,8;19,5;0;0;0;73;4,63
Veau, rôti;Viande;504;76,5;27;218;366;9,5;0,029;1,55;0,11;2,37;5;21;0;0;0;76,4;3,96
Viande cuite (aliment moyen);Viande;776;102;27,4;173;319;12,4;0,0189;2,15;0,0747;4,34;5,03;24,6;0;0;0;65;9,67
Beignet à la confiture;Céréale;1510;329;12,9;78;101;29,7;0,31;2,1;0,0814;0,556;15;6,1;46,1;26,9;1,2;28,9;16,6
Beignet aux fruits;Céréale;1240;326;12;110;128;25,7;0,3;2,3;0,08;0,5;15;5,3;31,5;23,2;2,5;43,5;16,1
Beignet nature;Céréale;1670;386;17,6;81;98;49,2;0,3;2,2;0;0,6;15;6,35;42,8;29,1;2,17;25,4;22,1
Brioche artisanale;Céréale;1720;466;18,8;138;190;41,9;0,439;1,65;0,116;0,807;31,8;9,9;44,9;32,2;0,5;21,7;21,2
Brioche, de boulangerie traditionnelle;Céréale;1570;528;22,2;124;185;164;0,346;0,17;0,0816;0,681;0;9,6;47,4;36,3;2,55;23;15,8
Brioche, préemballée;Céréale;1530;454;18,9;80,6;143;32,8;0;1,33;0,11;0,87;0;7,8;49,6;27,1;0,99;25,8;14,8
Cake salé (garniture : fromage, légumes, viande, poisson, volaille, etc.);Céréale;1210;572;16,1;152;165;170;0,1;1,3;0,1;1,4;33,6;11,9;14,8;13,8;1,8;49,1;20
Chausson aux pommes;Céréale;1440;270;10;150;106;51;0,103;0,98;0,0379;0,3;7,24;3,35;36,6;25,2;1;37,6;20,4
Chouquette;Céréale;1670;382;14;113;120;204;0;1,6;0;0;0;9,34;38,7;17;6,1;22,9;21,8
Croissant au beurre, artisanal;Céréale;1820;471;18,8;66;146;49;0,417;0,8;0,121;0,666;40;7,8;42,7;37,5;2,92;19,9;25,1
Croissant aux amandes, artisanal;Céréale;1680;223;29,7;90,6;118;44,7;0,28;0,7;0,15;0,57;59;7,1;39,8;20,9;6,1;23,9;22,2
Croissant ordinaire ou au beurre;Céréale;1730;544;20;91;112;50,1;0,461;0,98;0,108;0,661;31;6,92;47,7;44;2,5;20,3;20,8
Croissant ordinaire, artisanal;Céréale;1740;582;18,5;79,6;142;39;0,326;0,92;0,112;0,552;45;8,8;40,9;36,9;5,1;20,7;22,8
Fougasse, garnie;Céréale;1330;639;23,7;88,9;195;118;0,39;1,56;0,107;1,11;18;9,68;41,8;40,2;3,2;31,3;11,6
Muffin, aux myrtilles ou au chocolat;Céréale;1640;293;30,4;154;202;71,4;0;1,9;0;0;0;7,55;48,7;30,2;1,71;22,2;18,2
Pain au chocolat feuilleté, artisanal;Céréale;1730;504;30,4;83;178;38;0,398;3,14;0,178;0,749;0;6,9;47,4;26,7;2,1;20,8;21,1
Pain au lait, artisanal;Céréale;1630;488;19;114;213;52,6;0,43;1,1;0,107;0,795;0;9,3;42,9;40,2;5,3;22,1;18,6
Pain aux raisins (viennoiserie);Céréale;1440;350;18,6;100;252;56,5;0,262;0,77;0,118;0,656;0;6,4;50,9;17,7;2,05;27,4;11,8
Pain brioché ou viennois;Céréale;1500;525;21,5;122;163;42,5;0,45;1,1;0;0,75;0;8,2;49,5;37,6;3,1;24,5;13
Caille, viande et peau, cuite;Viande;830;52;22;279;216;15;0;4,43;0,592;3,1;3;25,1;0;0;0;60;10,9
Canard, magret, cuit à la poêle;Viande;861;435;31,2;273;390;5;0,1;4,8;0,5;2,1;15;26,7;0;0;0;62,9;10,9
Canard, viande rôtie;Viande;810;155;35,8;202;392;6,78;0,0357;3,36;0,354;1,83;4;23,3;0;0;0;63,1;11,2
Dinde, escalope, sautée;Viande;538;87,5;44,4;293;459;10,5;0,0185;0,511;0,0544;1,22;4;28,5;0;0;0;66,3;1,44
Dinde, viande, rôtie;Viande;502;136;44,3;211;482;9,66;0,0199;1,14;0,0938;3,74;5;29,4;0;0;0;65,7;0,1
Faisan, viande, rôtie;Viande;998;43;22;242;271;16;0;1,43;0,084;1,37;4;32,4;0;0;0;54,2;12,1
Oie, viande, rôtie;Viande;1140;113;28;290;399;12;0,024;3,74;0,276;3,17;4;29,1;0;0;0;52;17,5
Pigeon, viande, rôtie;Viande;887;57;26;332;256;17;0;5,91;0,763;3,83;4;23,9;0;0;0;62;13
Poule, viande et peau, bouillie;Viande;1330;75,5;19,5;180;182;11,5;0,021;1,37;0,1;1,52;5;25,4;0;0;0;49,5;24,2
Poule, viande, bouillie;Viande;957;78;22;204;202;13;0,022;1,43;0,116;1,46;18,5;30,4;0;0;0;56,4;11,9
Poulet, blanc, sans peau, cuit;Viande;511;415;26,5;480;290;13,6;0,0197;0,4;0,0403;0,79;5;26,2;0;0;0;72,5;1,76
Poulet, cuisse, viande et peau, rôti;Viande;796;103;25,1;200;324;14,5;0,0145;1,2;0,0634;2,16;5;26;0;0;0;65,7;9,57
Poulet, cuisse, viande, bouilli;Viande;801;90;26,2;164;262;5,8;0,1;1,2;0,1;2,4;3;26,2;0;0;0;64,1;9,6
Poulet, manchons marinés et rôtis;Viande;890;674;18,4;168;20,3;34,1;0;1,1;0;1,5;41;22,4;2,1;1,5;0,9;60,2;12,6
Poulet, viande et peau, rôti;Viande;857;121;39,6;170;700;19,4;0,0231;0,694;0,05;1,29;5;28,8;0;0;0;59,7;9,88
Volaille, cuite (aliment moyen);Viande;696;111;41,9;220;406;15;0,0118;0,684;0,0571;1,57;4,32;28,8;0;0;0;62,9;5,59
Lait fermenté à boire au lait demi0écrémé et au L. casei et/ou au L. acidophilus, nature;Lait;316;26,3;7,8;66;112;96,7;0,1;0,1;0,1;0,3;5,3;2,7;12,1;0;0;82,2;1,41
Lait fermenté à boire, au bifidus, arôme fruits;Lait;302;27;6,33;56;99;113;0,002;0,03;0,004;0,2;11;3,1;12;0;0;82,2;0,9
Lait fermenté à boire, maigre, nature;Lait;232;51,6;10,2;91;120;118;0;0;0,0095;0;17;8,6;2,78;0;0;86,1;0,767
Lait fermenté au lait entier au bifidus, aromatisé, sucré;Lait;394;47,7;5,37;94,9;46,7;122;0,001;0;0,007;0,41;29,4;3,4;12,6;0;0;79,2;2,99
Lait fermenté au lait entier au bifidus, aux fruits, sucré;Lait;450;64;1,24;88;141;121;0,002;0;0,01;0,52;15;3,65;15,3;0;0,229;75,2;3,1
Lait fermenté au lait entier au bifidus, nature;Lait;278;47,1;8,61;88,7;123;138;0,0027;0,07;0,00623;0,455;13,5;3,59;4,72;0,0968;0;86,5;3,37
Spécialité laitière au lait entier, au bifidus, aux fruits, sucrée, source de fibres;Lait;416;48,4;0,598;83,2;0;120;0,1;0;0,1;0,42;12,6;3,31;13,4;0;0,3;78;3,19
Spécialité laitière ou yaourt 0%, aromatisée, sucrée;Lait;234;53;0;0;0;152;0,1;0;0,1;0,52;15,1;4,3;8,41;0;0;85,2;0,163
Spécialité laitière ou yaourt 0%, aux céréales ou muesli;Lait;249;67;13,9;102;176;130;0,07;0,42;0,2;0,5;19;4,6;6,87;1,22;0,3;85,7;1,08
Spécialité laitière ou yaourt 0%, aux fruits, édulcoré;Lait;178;71,6;5,35;110;21,1;135;0,0891;0,0184;0,0164;0,165;11,6;4,3;4,43;0,166;0,816;88,3;0,32
Spécialité laitière ou yaourt 0%, aux fruits, sucrée;Lait;366;74,5;11,5;105;176;144;0,1;0,15;0,1;0,5;14;3,6;16,5;0;0,65;77;0,37
Spécialité laitière ou yaourt 0%, nature;Lait;180;53,7;12,8;113;162;149;0,0044;0,0586;0,0111;0,461;19,3;4,33;5,13;0,332;0;88,1;0,309
Spécialité laitière ou yaourt au lait entier, avec crème, aromatisée, sucrée;Lait;543;48;10,2;95;141;112;0;0;0;0;11;3,82;14,3;0,64;0;74,2;6,04
Spécialité laitière ou yaourt au lait entier, avec crème, nature;Lait;404;59,4;11,8;104;163;133;0;0;0;0;45;3,8;4,26;0;0;83,3;6,9
Yaourt à boire, au lait demi0écrémé ou partiellement écrémé, aromatisé, sucré;Lait;357;38,4;6,34;78,7;92,7;111;0,0023;0;0,01;0,341;5,1;2,68;14,8;0,002;0;79,8;1,28
Yaourt à boire, au lait demi0écrémé ou partiellement écrémé, aux fruits, sucré;Lait;361;41;5,3;80,4;85,3;111;0,002;0,065;0;0,3;0;2,76;13,9;0;0;79,8;1,77
Yaourt à boire, au lait demi0écrémé, aux édulcorants;Lait;196;47,5;11;81;142;112;0;0,1;0,01;0,3;11;3,1;4;0;0;84,4;1,7
Yaourt au lait de chèvre partiellement écrémé, nature;Lait;249;39;14;110;170;120;0;0,2;0,01;0,4;0;3,5;2,2;0;0;88,7;3,8
Yaourt au lait entier, aromatisé, sucré;Lait;410;45;10,9;79,6;159;119;0,0062;0;0,00705;0,414;10,5;3,18;13,6;0;0;78,4;3,04
Yaourt au lait entier, aux fruits, sucré;Lait;435;44,9;9,03;87,5;153;115;0,0866;0,125;0,0167;0,41;2;3,51;15,2;0;0,0971;76,7;2,81
Yaourt au lait entier, avec crème, aux pépites ou copeaux de chocolat, sucré;Lait;546;43;14;98;178;120;0,02;0,3;0,02;0,4;17;3,6;15,9;0,1;0,2;73,1;5,43
Yaourt au lait entier, nature;Lait;271;51,6;12;95;180;138;0,0121;0,1;0,0087;0,441;18,8;4,04;2,63;0;0;87,6;3,94
Yaourt au lait entier, nature, brassé;Lait;285;67,3;15,5;100;219;167;0,1;0,25;0,1;0,39;10,6;4,44;4,63;0;0;85,9;3,23
Yaourt au lait entier, nature, sucré;Lait;394;48;12;92,5;157;116;0,1;0,23;0,1;0,41;7,3;3,31;12,6;0;0;79,3;3,01
Yaourt au lait partiellement écrémé, aromatisé, sucré;Lait;391;50,4;7,2;88,8;92,8;125;0,0318;0,0589;0,00601;0,349;4,28;3,55;16,3;0,135;0;77,4;1,12
Yaourt au lait partiellement écrémé, aux fruits, sucré;Lait;340;58,3;11,9;88;157;114;0,1;0,085;0,0106;0,469;5;4,3;11,1;0,2;0,4;80,7;1,71
Yaourt au lait partiellement écrémé, nature;Lait;200;53,5;10,2;96,9;176;141;0,00405;0,13;0,0102;0,526;20;4,01;4,93;0;0;88,6;0,994
Yaourt au lait partiellement ou demi0écrémé, nature, sucré;Lait;315;50,1;7,6;93,3;97;136;0,00835;0;0,0055;0,443;4,35;3,51;12,7;0;0;81,2;0,743
Yaourt ou lait fermenté au bifidus, au lait entier, aux céréales et/ou muesli;Lait;387;51,2;3,25;94,8;13,4;126;0,01;0,192;0,1;0,4;5;3,9;9,09;0,812;1,84;79,7;3,78
Yaourt ou spécialité laitière aux fruits (aliment moyen);Lait;350;53,3;8,01;92,4;105;123;0,0585;0,0567;0,0123;0,331;8,03;3,67;12,2;0,0744;0,25;80,3;1,81
Yaourt ou spécialité laitière nature (aliment moyen);Lait;224;55,5;11,6;99,8;182;146;0,0102;0,133;0,0145;0,491;18,7;4,15;4,55;0,0398;0;88,9;1,72
Yaourt ou spécialité laitière nature ou aux fruits (aliment moyen);Lait;298;54,2;9,52;95,5;138;133;0,0382;0,0887;0,0133;0,398;12,5;3,87;8,99;0,0599;0,145;83,9;1,78
